vacina,agegroup,data,doses,n
Pfizer,4,2021-09-24,R,2074
Pfizer,4,2021-09-25,D1,19
Pfizer,4,2021-09-25,D2,41
Pfizer,4,2021-09-25,DU,0
Pfizer,4,2021-09-25,R,3162
Pfizer,4,2021-09-26,D1,1
Pfizer,4,2021-09-26,D2,4
Pfizer,4,2021-09-26,DU,0
Pfizer,4,2021-09-26,R,265
Pfizer,4,2021-09-27,D1,19
Pfizer,4,2021-09-27,D2,48
Pfizer,4,2021-09-27,DU,0
Pfizer,4,2021-09-27,R,1889
Pfizer,4,2021-09-28,D1,11
Pfizer,4,2021-09-28,D2,52
Pfizer,4,2021-09-28,DU,0
Pfizer,4,2021-09-28,R,2499
Pfizer,4,2021-09-29,D1,31
Pfizer,4,2021-09-29,D2,61
Pfizer,4,2021-09-29,DU,0
Pfizer,4,2021-09-29,R,1992
Pfizer,4,2021-09-30,D1,13
Pfizer,4,2021-09-30,D2,40
Pfizer,4,2021-09-30,DU,0
Pfizer,4,2021-09-30,R,2482
Pfizer,4,2021-10-01,D1,16
Pfizer,4,2021-10-01,D2,45
Pfizer,4,2021-10-01,DU,0
Pfizer,4,2021-10-01,R,1161
Pfizer,4,2021-10-02,D1,13
Pfizer,4,2021-10-02,D2,44
Pfizer,4,2021-10-02,DU,0
Pfizer,4,2021-10-02,R,2816
Pfizer,4,2021-10-03,D1,1
Pfizer,4,2021-10-03,D2,1
Pfizer,4,2021-10-03,DU,0
Pfizer,4,2021-10-03,R,23
Pfizer,4,2021-10-04,D1,12
Pfizer,4,2021-10-04,D2,34
Pfizer,4,2021-10-04,DU,0
Pfizer,4,2021-10-04,R,947
Pfizer,4,2021-10-05,D1,6
Pfizer,4,2021-10-05,D2,31
Pfizer,4,2021-10-05,DU,0
Pfizer,4,2021-10-05,R,1686
Pfizer,4,2021-10-06,D1,14
Pfizer,4,2021-10-06,D2,37
Pfizer,4,2021-10-06,DU,0
Pfizer,4,2021-10-06,R,1851
Pfizer,4,2021-10-07,D1,20
Pfizer,4,2021-10-07,D2,58
Pfizer,4,2021-10-07,DU,0
Pfizer,4,2021-10-07,R,2337
Pfizer,4,2021-10-08,D1,11
Pfizer,4,2021-10-08,D2,49
Pfizer,4,2021-10-08,DU,0
Pfizer,4,2021-10-08,R,1470
Pfizer,4,2021-10-09,D1,8
Pfizer,4,2021-10-09,D2,63
Pfizer,4,2021-10-09,DU,0
Pfizer,4,2021-10-09,R,2107
Pfizer,4,2021-10-10,D1,0
Pfizer,4,2021-10-10,D2,0
Pfizer,4,2021-10-10,DU,0
Pfizer,4,2021-10-10,R,4
Pfizer,4,2021-10-11,D1,2
Pfizer,4,2021-10-11,D2,16
Pfizer,4,2021-10-11,DU,0
Pfizer,4,2021-10-11,R,932
Pfizer,4,2021-10-12,D1,0
Pfizer,4,2021-10-12,D2,0
Pfizer,4,2021-10-12,DU,0
Pfizer,4,2021-10-12,R,4
Pfizer,4,2021-10-13,D1,14
Pfizer,4,2021-10-13,D2,38
Pfizer,4,2021-10-13,DU,0
Pfizer,4,2021-10-13,R,2397
Pfizer,4,2021-10-14,D1,26
Pfizer,4,2021-10-14,D2,73
Pfizer,4,2021-10-14,DU,0
Pfizer,4,2021-10-14,R,2487
Pfizer,4,2021-10-15,D1,20
Pfizer,4,2021-10-15,D2,76
Pfizer,4,2021-10-15,DU,0
Pfizer,4,2021-10-15,R,3109
Pfizer,4,2021-10-16,D1,26
Pfizer,4,2021-10-16,D2,70
Pfizer,4,2021-10-16,DU,0
Pfizer,4,2021-10-16,R,2257
Pfizer,4,2021-10-17,D1,0
Pfizer,4,2021-10-17,D2,3
Pfizer,4,2021-10-17,DU,0
Pfizer,4,2021-10-17,R,205
Pfizer,4,2021-10-18,D1,16
Pfizer,4,2021-10-18,D2,54
Pfizer,4,2021-10-18,DU,0
Pfizer,4,2021-10-18,R,3047
Pfizer,5,2021-01-28,D1,0
Pfizer,5,2021-01-28,D2,0
Pfizer,5,2021-01-28,DU,0
Pfizer,5,2021-01-28,R,1
Pfizer,5,2021-02-05,D1,0
Pfizer,5,2021-02-05,D2,0
Pfizer,5,2021-02-05,DU,0
Pfizer,5,2021-02-05,R,1
Pfizer,5,2021-02-20,D1,0
Pfizer,5,2021-02-20,D2,0
Pfizer,5,2021-02-20,DU,0
Pfizer,5,2021-02-20,R,1
Pfizer,5,2021-03-02,D1,0
Pfizer,5,2021-03-02,D2,1
Pfizer,5,2021-03-02,DU,0
Pfizer,5,2021-03-02,R,0
Pfizer,5,2021-03-20,D1,0
Pfizer,5,2021-03-20,D2,0
Pfizer,5,2021-03-20,DU,0
Pfizer,5,2021-03-20,R,1
Pfizer,5,2021-03-23,D1,1
Pfizer,5,2021-03-23,D2,0
Pfizer,5,2021-03-23,DU,0
Pfizer,5,2021-03-23,R,0
Pfizer,5,2021-04-24,D1,0
Pfizer,5,2021-04-24,D2,0
Pfizer,5,2021-04-24,DU,0
Pfizer,5,2021-04-24,R,1
Pfizer,5,2021-05-05,D1,1
Pfizer,5,2021-05-05,D2,0
Pfizer,5,2021-05-05,DU,0
Pfizer,5,2021-05-05,R,0
Pfizer,5,2021-05-10,D1,3
Pfizer,5,2021-05-10,D2,0
Pfizer,5,2021-05-10,DU,0
Pfizer,5,2021-05-10,R,0
Pfizer,5,2021-05-11,D1,2
Pfizer,5,2021-05-11,D2,0
Pfizer,5,2021-05-11,DU,0
Pfizer,5,2021-05-11,R,0
Pfizer,5,2021-05-19,D1,1
Pfizer,5,2021-05-19,D2,0
Pfizer,5,2021-05-19,DU,0
Pfizer,5,2021-05-19,R,0
Pfizer,5,2021-05-20,D1,2
Pfizer,5,2021-05-20,D2,0
Pfizer,5,2021-05-20,DU,0
Pfizer,5,2021-05-20,R,2
Pfizer,5,2021-05-21,D1,7
Pfizer,5,2021-05-21,D2,0
Pfizer,5,2021-05-21,DU,0
Pfizer,5,2021-05-21,R,0
Pfizer,5,2021-05-22,D1,1
Pfizer,5,2021-05-22,D2,0
Pfizer,5,2021-05-22,DU,0
Pfizer,5,2021-05-22,R,0
Pfizer,5,2021-05-24,D1,1
Pfizer,5,2021-05-24,D2,0
Pfizer,5,2021-05-24,DU,0
Pfizer,5,2021-05-24,R,0
Pfizer,5,2021-05-25,D1,9
Pfizer,5,2021-05-25,D2,0
Pfizer,5,2021-05-25,DU,0
Pfizer,5,2021-05-25,R,0
Pfizer,5,2021-05-26,D1,3
Pfizer,5,2021-05-26,D2,0
Pfizer,5,2021-05-26,DU,0
Pfizer,5,2021-05-26,R,0
Pfizer,5,2021-05-27,D1,1
Pfizer,5,2021-05-27,D2,0
Pfizer,5,2021-05-27,DU,0
Pfizer,5,2021-05-27,R,0
Pfizer,5,2021-05-28,D1,4
Pfizer,5,2021-05-28,D2,0
Pfizer,5,2021-05-28,DU,0
Pfizer,5,2021-05-28,R,0
Pfizer,5,2021-06-01,D1,1
Pfizer,5,2021-06-01,D2,2
Pfizer,5,2021-06-01,DU,0
Pfizer,5,2021-06-01,R,0
Pfizer,5,2021-06-02,D1,2
Pfizer,5,2021-06-02,D2,2
Pfizer,5,2021-06-02,DU,0
Pfizer,5,2021-06-02,R,0
Pfizer,5,2021-06-07,D1,1
Pfizer,5,2021-06-07,D2,0
Pfizer,5,2021-06-07,DU,0
Pfizer,5,2021-06-07,R,0
Pfizer,5,2021-06-08,D1,1
Pfizer,5,2021-06-08,D2,0
Pfizer,5,2021-06-08,DU,0
Pfizer,5,2021-06-08,R,0
Pfizer,5,2021-06-09,D1,1
Pfizer,5,2021-06-09,D2,0
Pfizer,5,2021-06-09,DU,0
Pfizer,5,2021-06-09,R,0
Pfizer,5,2021-06-10,D1,3
Pfizer,5,2021-06-10,D2,0
Pfizer,5,2021-06-10,DU,0
Pfizer,5,2021-06-10,R,0
Pfizer,5,2021-06-11,D1,7
Pfizer,5,2021-06-11,D2,0
Pfizer,5,2021-06-11,DU,0
Pfizer,5,2021-06-11,R,0
Pfizer,5,2021-06-12,D1,14
Pfizer,5,2021-06-12,D2,0
Pfizer,5,2021-06-12,DU,0
Pfizer,5,2021-06-12,R,0
Pfizer,5,2021-06-14,D1,6
Pfizer,5,2021-06-14,D2,0
Pfizer,5,2021-06-14,DU,0
Pfizer,5,2021-06-14,R,0
Pfizer,5,2021-06-15,D1,5
Pfizer,5,2021-06-15,D2,0
Pfizer,5,2021-06-15,DU,0
Pfizer,5,2021-06-15,R,0
Pfizer,5,2021-06-16,D1,4
Pfizer,5,2021-06-16,D2,0
Pfizer,5,2021-06-16,DU,0
Pfizer,5,2021-06-16,R,0
Pfizer,5,2021-06-17,D1,3
Pfizer,5,2021-06-17,D2,1
Pfizer,5,2021-06-17,DU,0
Pfizer,5,2021-06-17,R,0
Pfizer,5,2021-06-18,D1,10
Pfizer,5,2021-06-18,D2,0
Pfizer,5,2021-06-18,DU,0
Pfizer,5,2021-06-18,R,0
Pfizer,5,2021-06-19,D1,5
Pfizer,5,2021-06-19,D2,0
Pfizer,5,2021-06-19,DU,0
Pfizer,5,2021-06-19,R,0
Pfizer,5,2021-06-20,D1,0
Pfizer,5,2021-06-20,D2,0
Pfizer,5,2021-06-20,DU,0
Pfizer,5,2021-06-20,R,1
Pfizer,5,2021-06-21,D1,8
Pfizer,5,2021-06-21,D2,0
Pfizer,5,2021-06-21,DU,0
Pfizer,5,2021-06-21,R,0
Pfizer,5,2021-06-22,D1,9
Pfizer,5,2021-06-22,D2,0
Pfizer,5,2021-06-22,DU,0
Pfizer,5,2021-06-22,R,0
Pfizer,5,2021-06-23,D1,7
Pfizer,5,2021-06-23,D2,1
Pfizer,5,2021-06-23,DU,0
Pfizer,5,2021-06-23,R,0
Pfizer,5,2021-06-24,D1,3
Pfizer,5,2021-06-24,D2,0
Pfizer,5,2021-06-24,DU,0
Pfizer,5,2021-06-24,R,0
Pfizer,5,2021-06-26,D1,1
Pfizer,5,2021-06-26,D2,0
Pfizer,5,2021-06-26,DU,0
Pfizer,5,2021-06-26,R,0
Pfizer,5,2021-06-28,D1,5
Pfizer,5,2021-06-28,D2,0
Pfizer,5,2021-06-28,DU,0
Pfizer,5,2021-06-28,R,0
Pfizer,5,2021-06-29,D1,2
Pfizer,5,2021-06-29,D2,0
Pfizer,5,2021-06-29,DU,0
Pfizer,5,2021-06-29,R,0
Pfizer,5,2021-06-30,D1,10
Pfizer,5,2021-06-30,D2,0
Pfizer,5,2021-06-30,DU,0
Pfizer,5,2021-06-30,R,0
Pfizer,5,2021-07-01,D1,9
Pfizer,5,2021-07-01,D2,0
Pfizer,5,2021-07-01,DU,0
Pfizer,5,2021-07-01,R,0
Pfizer,5,2021-07-02,D1,3
Pfizer,5,2021-07-02,D2,0
Pfizer,5,2021-07-02,DU,0
Pfizer,5,2021-07-02,R,0
Pfizer,5,2021-07-03,D1,4
Pfizer,5,2021-07-03,D2,0
Pfizer,5,2021-07-03,DU,0
Pfizer,5,2021-07-03,R,0
Pfizer,5,2021-07-05,D1,3
Pfizer,5,2021-07-05,D2,0
Pfizer,5,2021-07-05,DU,0
Pfizer,5,2021-07-05,R,0
Pfizer,5,2021-07-06,D1,3
Pfizer,5,2021-07-06,D2,0
Pfizer,5,2021-07-06,DU,0
Pfizer,5,2021-07-06,R,0
Pfizer,5,2021-07-07,D1,9
Pfizer,5,2021-07-07,D2,0
Pfizer,5,2021-07-07,DU,0
Pfizer,5,2021-07-07,R,0
Pfizer,5,2021-07-08,D1,2
Pfizer,5,2021-07-08,D2,0
Pfizer,5,2021-07-08,DU,0
Pfizer,5,2021-07-08,R,0
Pfizer,5,2021-07-09,D1,5
Pfizer,5,2021-07-09,D2,0
Pfizer,5,2021-07-09,DU,0
Pfizer,5,2021-07-09,R,0
Pfizer,5,2021-07-10,D1,6
Pfizer,5,2021-07-10,D2,0
Pfizer,5,2021-07-10,DU,0
Pfizer,5,2021-07-10,R,0
Pfizer,5,2021-07-12,D1,2
Pfizer,5,2021-07-12,D2,0
Pfizer,5,2021-07-12,DU,0
Pfizer,5,2021-07-12,R,0
Pfizer,5,2021-07-13,D1,4
Pfizer,5,2021-07-13,D2,0
Pfizer,5,2021-07-13,DU,0
Pfizer,5,2021-07-13,R,0
Pfizer,5,2021-07-14,D1,3
Pfizer,5,2021-07-14,D2,0
Pfizer,5,2021-07-14,DU,0
Pfizer,5,2021-07-14,R,0
Pfizer,5,2021-07-15,D1,3
Pfizer,5,2021-07-15,D2,0
Pfizer,5,2021-07-15,DU,0
Pfizer,5,2021-07-15,R,0
Pfizer,5,2021-07-16,D1,5
Pfizer,5,2021-07-16,D2,0
Pfizer,5,2021-07-16,DU,0
Pfizer,5,2021-07-16,R,0
Pfizer,5,2021-07-17,D1,3
Pfizer,5,2021-07-17,D2,0
Pfizer,5,2021-07-17,DU,0
Pfizer,5,2021-07-17,R,0
Pfizer,5,2021-07-19,D1,2
Pfizer,5,2021-07-19,D2,0
Pfizer,5,2021-07-19,DU,0
Pfizer,5,2021-07-19,R,2
Pfizer,5,2021-07-20,D1,6
Pfizer,5,2021-07-20,D2,0
Pfizer,5,2021-07-20,DU,0
Pfizer,5,2021-07-20,R,0
Pfizer,5,2021-07-21,D1,3
Pfizer,5,2021-07-21,D2,0
Pfizer,5,2021-07-21,DU,0
Pfizer,5,2021-07-21,R,0
Pfizer,5,2021-07-22,D1,9
Pfizer,5,2021-07-22,D2,0
Pfizer,5,2021-07-22,DU,0
Pfizer,5,2021-07-22,R,0
Pfizer,5,2021-07-23,D1,7
Pfizer,5,2021-07-23,D2,0
Pfizer,5,2021-07-23,DU,0
Pfizer,5,2021-07-23,R,0
Pfizer,5,2021-07-24,D1,2
Pfizer,5,2021-07-24,D2,0
Pfizer,5,2021-07-24,DU,0
Pfizer,5,2021-07-24,R,0
Pfizer,5,2021-07-26,D1,4
Pfizer,5,2021-07-26,D2,0
Pfizer,5,2021-07-26,DU,0
Pfizer,5,2021-07-26,R,0
Pfizer,5,2021-07-27,D1,5
Pfizer,5,2021-07-27,D2,0
Pfizer,5,2021-07-27,DU,0
Pfizer,5,2021-07-27,R,0
Pfizer,5,2021-07-28,D1,3
Pfizer,5,2021-07-28,D2,0
Pfizer,5,2021-07-28,DU,0
Pfizer,5,2021-07-28,R,0
Pfizer,5,2021-07-29,D1,4
Pfizer,5,2021-07-29,D2,0
Pfizer,5,2021-07-29,DU,0
Pfizer,5,2021-07-29,R,0
Pfizer,5,2021-07-30,D1,2
Pfizer,5,2021-07-30,D2,0
Pfizer,5,2021-07-30,DU,0
Pfizer,5,2021-07-30,R,0
Pfizer,5,2021-07-31,D1,1
Pfizer,5,2021-07-31,D2,0
Pfizer,5,2021-07-31,DU,0
Pfizer,5,2021-07-31,R,0
Pfizer,5,2021-08-02,D1,0
Pfizer,5,2021-08-02,D2,4
Pfizer,5,2021-08-02,DU,0
Pfizer,5,2021-08-02,R,0
Pfizer,5,2021-08-03,D1,4
Pfizer,5,2021-08-03,D2,0
Pfizer,5,2021-08-03,DU,0
Pfizer,5,2021-08-03,R,0
Pfizer,5,2021-08-04,D1,6
Pfizer,5,2021-08-04,D2,0
Pfizer,5,2021-08-04,DU,0
Pfizer,5,2021-08-04,R,0
Pfizer,5,2021-08-05,D1,5
Pfizer,5,2021-08-05,D2,0
Pfizer,5,2021-08-05,DU,0
Pfizer,5,2021-08-05,R,0
Pfizer,5,2021-08-06,D1,3
Pfizer,5,2021-08-06,D2,0
Pfizer,5,2021-08-06,DU,0
Pfizer,5,2021-08-06,R,0
Pfizer,5,2021-08-07,D1,10
Pfizer,5,2021-08-07,D2,0
Pfizer,5,2021-08-07,DU,0
Pfizer,5,2021-08-07,R,0
Pfizer,5,2021-08-09,D1,7
Pfizer,5,2021-08-09,D2,5
Pfizer,5,2021-08-09,DU,0
Pfizer,5,2021-08-09,R,0
Pfizer,5,2021-08-10,D1,7
Pfizer,5,2021-08-10,D2,0
Pfizer,5,2021-08-10,DU,0
Pfizer,5,2021-08-10,R,0
Pfizer,5,2021-08-11,D1,5
Pfizer,5,2021-08-11,D2,0
Pfizer,5,2021-08-11,DU,0
Pfizer,5,2021-08-11,R,0
Pfizer,5,2021-08-12,D1,8
Pfizer,5,2021-08-12,D2,1
Pfizer,5,2021-08-12,DU,0
Pfizer,5,2021-08-12,R,0
Pfizer,5,2021-08-13,D1,8
Pfizer,5,2021-08-13,D2,0
Pfizer,5,2021-08-13,DU,0
Pfizer,5,2021-08-13,R,0
Pfizer,5,2021-08-14,D1,8
Pfizer,5,2021-08-14,D2,0
Pfizer,5,2021-08-14,DU,0
Pfizer,5,2021-08-14,R,0
Pfizer,5,2021-08-16,D1,8
Pfizer,5,2021-08-16,D2,1
Pfizer,5,2021-08-16,DU,0
Pfizer,5,2021-08-16,R,2
Pfizer,5,2021-08-17,D1,4
Pfizer,5,2021-08-17,D2,1
Pfizer,5,2021-08-17,DU,0
Pfizer,5,2021-08-17,R,0
Pfizer,5,2021-08-18,D1,10
Pfizer,5,2021-08-18,D2,4
Pfizer,5,2021-08-18,DU,0
Pfizer,5,2021-08-18,R,1
Pfizer,5,2021-08-19,D1,14
Pfizer,5,2021-08-19,D2,1
Pfizer,5,2021-08-19,DU,0
Pfizer,5,2021-08-19,R,0
Pfizer,5,2021-08-20,D1,0
Pfizer,5,2021-08-20,D2,4
Pfizer,5,2021-08-20,DU,0
Pfizer,5,2021-08-20,R,0
Pfizer,5,2021-08-21,D1,23
Pfizer,5,2021-08-21,D2,0
Pfizer,5,2021-08-21,DU,0
Pfizer,5,2021-08-21,R,1
Pfizer,5,2021-08-23,D1,2
Pfizer,5,2021-08-23,D2,2
Pfizer,5,2021-08-23,DU,0
Pfizer,5,2021-08-23,R,0
Pfizer,5,2021-08-24,D1,1
Pfizer,5,2021-08-24,D2,1
Pfizer,5,2021-08-24,DU,0
Pfizer,5,2021-08-24,R,1
Pfizer,5,2021-08-25,D1,6
Pfizer,5,2021-08-25,D2,1
Pfizer,5,2021-08-25,DU,0
Pfizer,5,2021-08-25,R,1
Pfizer,5,2021-08-26,D1,6
Pfizer,5,2021-08-26,D2,2
Pfizer,5,2021-08-26,DU,0
Pfizer,5,2021-08-26,R,0
Pfizer,5,2021-08-27,D1,5
Pfizer,5,2021-08-27,D2,13
Pfizer,5,2021-08-27,DU,0
Pfizer,5,2021-08-27,R,0
Pfizer,5,2021-08-28,D1,6
Pfizer,5,2021-08-28,D2,8
Pfizer,5,2021-08-28,DU,0
Pfizer,5,2021-08-28,R,0
Pfizer,5,2021-08-30,D1,5
Pfizer,5,2021-08-30,D2,3
Pfizer,5,2021-08-30,DU,0
Pfizer,5,2021-08-30,R,0
Pfizer,5,2021-08-31,D1,2
Pfizer,5,2021-08-31,D2,6
Pfizer,5,2021-08-31,DU,0
Pfizer,5,2021-08-31,R,0
Pfizer,5,2021-09-01,D1,5
Pfizer,5,2021-09-01,D2,2
Pfizer,5,2021-09-01,DU,0
Pfizer,5,2021-09-01,R,1
Pfizer,5,2021-09-02,D1,6
Pfizer,5,2021-09-02,D2,3
Pfizer,5,2021-09-02,DU,0
Pfizer,5,2021-09-02,R,0
Pfizer,5,2021-09-03,D1,6
Pfizer,5,2021-09-03,D2,0
Pfizer,5,2021-09-03,DU,0
Pfizer,5,2021-09-03,R,0
Pfizer,5,2021-09-04,D1,7
Pfizer,5,2021-09-04,D2,0
Pfizer,5,2021-09-04,DU,0
Pfizer,5,2021-09-04,R,1
Pfizer,5,2021-09-06,D1,3
Pfizer,5,2021-09-06,D2,1
Pfizer,5,2021-09-06,DU,0
Pfizer,5,2021-09-06,R,409
Pfizer,5,2021-09-07,D1,0
Pfizer,5,2021-09-07,D2,0
Pfizer,5,2021-09-07,DU,0
Pfizer,5,2021-09-07,R,25
Pfizer,5,2021-09-08,D1,6
Pfizer,5,2021-09-08,D2,3
Pfizer,5,2021-09-08,DU,0
Pfizer,5,2021-09-08,R,257
Pfizer,5,2021-09-09,D1,4
Pfizer,5,2021-09-09,D2,6
Pfizer,5,2021-09-09,DU,0
Pfizer,5,2021-09-09,R,490
Pfizer,5,2021-09-10,D1,10
Pfizer,5,2021-09-10,D2,6
Pfizer,5,2021-09-10,DU,0
Pfizer,5,2021-09-10,R,864
Pfizer,5,2021-09-11,D1,14
Pfizer,5,2021-09-11,D2,3
Pfizer,5,2021-09-11,DU,0
Pfizer,5,2021-09-11,R,882
Pfizer,5,2021-09-12,D1,0
Pfizer,5,2021-09-12,D2,1
Pfizer,5,2021-09-12,DU,0
Pfizer,5,2021-09-12,R,60
Pfizer,5,2021-09-13,D1,6
Pfizer,5,2021-09-13,D2,5
Pfizer,5,2021-09-13,DU,0
Pfizer,5,2021-09-13,R,657
Pfizer,5,2021-09-14,D1,5
Pfizer,5,2021-09-14,D2,3
Pfizer,5,2021-09-14,DU,0
Pfizer,5,2021-09-14,R,760
Pfizer,5,2021-09-15,D1,18
Pfizer,5,2021-09-15,D2,8
Pfizer,5,2021-09-15,DU,0
Pfizer,5,2021-09-15,R,2124
Pfizer,5,2021-09-16,D1,17
Pfizer,5,2021-09-16,D2,4
Pfizer,5,2021-09-16,DU,0
Pfizer,5,2021-09-16,R,4028
Pfizer,5,2021-09-17,D1,9
Pfizer,5,2021-09-17,D2,4
Pfizer,5,2021-09-17,DU,0
Pfizer,5,2021-09-17,R,3997
Pfizer,5,2021-09-18,D1,14
Pfizer,5,2021-09-18,D2,5
Pfizer,5,2021-09-18,DU,0
Pfizer,5,2021-09-18,R,3704
Pfizer,5,2021-09-19,D1,0
Pfizer,5,2021-09-19,D2,1
Pfizer,5,2021-09-19,DU,0
Pfizer,5,2021-09-19,R,217
Pfizer,5,2021-09-20,D1,11
Pfizer,5,2021-09-20,D2,6
Pfizer,5,2021-09-20,DU,0
Pfizer,5,2021-09-20,R,3936
Pfizer,5,2021-09-21,D1,14
Pfizer,5,2021-09-21,D2,9
Pfizer,5,2021-09-21,DU,0
Pfizer,5,2021-09-21,R,3443
Pfizer,5,2021-09-22,D1,7
Pfizer,5,2021-09-22,D2,5
Pfizer,5,2021-09-22,DU,0
Pfizer,5,2021-09-22,R,3092
Pfizer,5,2021-09-23,D1,18
Pfizer,5,2021-09-23,D2,23
Pfizer,5,2021-09-23,DU,0
Pfizer,5,2021-09-23,R,2258
Pfizer,5,2021-09-24,D1,7
Pfizer,5,2021-09-24,D2,17
Pfizer,5,2021-09-24,DU,0
Pfizer,5,2021-09-24,R,1921
Pfizer,5,2021-09-25,D1,16
Pfizer,5,2021-09-25,D2,5
Pfizer,5,2021-09-25,DU,0
Pfizer,5,2021-09-25,R,2028
Pfizer,5,2021-09-26,D1,0
Pfizer,5,2021-09-26,D2,2
Pfizer,5,2021-09-26,DU,0
Pfizer,5,2021-09-26,R,220
Pfizer,5,2021-09-27,D1,5
Pfizer,5,2021-09-27,D2,18
Pfizer,5,2021-09-27,DU,0
Pfizer,5,2021-09-27,R,1608
Pfizer,5,2021-09-28,D1,13
Pfizer,5,2021-09-28,D2,21
Pfizer,5,2021-09-28,DU,0
Pfizer,5,2021-09-28,R,2277
Pfizer,5,2021-09-29,D1,7
Pfizer,5,2021-09-29,D2,11
Pfizer,5,2021-09-29,DU,0
Pfizer,5,2021-09-29,R,1890
Pfizer,5,2021-09-30,D1,10
Pfizer,5,2021-09-30,D2,15
Pfizer,5,2021-09-30,DU,0
Pfizer,5,2021-09-30,R,1845
Pfizer,5,2021-10-01,D1,5
Pfizer,5,2021-10-01,D2,7
Pfizer,5,2021-10-01,DU,0
Pfizer,5,2021-10-01,R,1380
Pfizer,5,2021-10-02,D1,11
Pfizer,5,2021-10-02,D2,16
Pfizer,5,2021-10-02,DU,0
Pfizer,5,2021-10-02,R,1680
Pfizer,5,2021-10-03,D1,0
Pfizer,5,2021-10-03,D2,0
Pfizer,5,2021-10-03,DU,0
Pfizer,5,2021-10-03,R,17
Pfizer,5,2021-10-04,D1,3
Pfizer,5,2021-10-04,D2,5
Pfizer,5,2021-10-04,DU,0
Pfizer,5,2021-10-04,R,752
Pfizer,5,2021-10-05,D1,5
Pfizer,5,2021-10-05,D2,20
Pfizer,5,2021-10-05,DU,0
Pfizer,5,2021-10-05,R,1378
Pfizer,5,2021-10-06,D1,6
Pfizer,5,2021-10-06,D2,11
Pfizer,5,2021-10-06,DU,0
Pfizer,5,2021-10-06,R,1159
Pfizer,5,2021-10-07,D1,4
Pfizer,5,2021-10-07,D2,12
Pfizer,5,2021-10-07,DU,0
Pfizer,5,2021-10-07,R,1303
Pfizer,5,2021-10-08,D1,4
Pfizer,5,2021-10-08,D2,17
Pfizer,5,2021-10-08,DU,0
Pfizer,5,2021-10-08,R,968
Pfizer,5,2021-10-09,D1,2
Pfizer,5,2021-10-09,D2,4
Pfizer,5,2021-10-09,DU,0
Pfizer,5,2021-10-09,R,941
Pfizer,5,2021-10-11,D1,1
Pfizer,5,2021-10-11,D2,1
Pfizer,5,2021-10-11,DU,0
Pfizer,5,2021-10-11,R,486
Pfizer,5,2021-10-12,D1,0
Pfizer,5,2021-10-12,D2,0
Pfizer,5,2021-10-12,DU,0
Pfizer,5,2021-10-12,R,1
Pfizer,5,2021-10-13,D1,4
Pfizer,5,2021-10-13,D2,12
Pfizer,5,2021-10-13,DU,0
Pfizer,5,2021-10-13,R,979
Pfizer,5,2021-10-14,D1,7
Pfizer,5,2021-10-14,D2,12
Pfizer,5,2021-10-14,DU,0
Pfizer,5,2021-10-14,R,1200
Pfizer,5,2021-10-15,D1,6
Pfizer,5,2021-10-15,D2,15
Pfizer,5,2021-10-15,DU,1
Pfizer,5,2021-10-15,R,1326
Pfizer,5,2021-10-16,D1,5
Pfizer,5,2021-10-16,D2,15
Pfizer,5,2021-10-16,DU,0
Pfizer,5,2021-10-16,R,817
Pfizer,5,2021-10-17,D1,0
Pfizer,5,2021-10-17,D2,0
Pfizer,5,2021-10-17,DU,0
Pfizer,5,2021-10-17,R,31
Pfizer,5,2021-10-18,D1,2
Pfizer,5,2021-10-18,D2,5
Pfizer,5,2021-10-18,DU,0
Pfizer,5,2021-10-18,R,788
Janssen,1,2021-06-25,D1,0
Janssen,1,2021-06-25,D2,0
Janssen,1,2021-06-25,DU,2
Janssen,1,2021-06-25,R,0
Janssen,1,2021-06-26,D1,0
Janssen,1,2021-06-26,D2,0
Janssen,1,2021-06-26,DU,3
Janssen,1,2021-06-26,R,0
Janssen,1,2021-06-28,D1,0
Janssen,1,2021-06-28,D2,0
Janssen,1,2021-06-28,DU,3
Janssen,1,2021-06-28,R,0
Janssen,1,2021-06-29,D1,0
Janssen,1,2021-06-29,D2,0
Janssen,1,2021-06-29,DU,4
Janssen,1,2021-06-29,R,0
Janssen,1,2021-06-30,D1,0
Janssen,1,2021-06-30,D2,0
Janssen,1,2021-06-30,DU,1
Janssen,1,2021-06-30,R,0
Janssen,1,2021-07-03,D1,0
Janssen,1,2021-07-03,D2,0
Janssen,1,2021-07-03,DU,3
Janssen,1,2021-07-03,R,0
Janssen,1,2021-07-05,D1,0
Janssen,1,2021-07-05,D2,0
Janssen,1,2021-07-05,DU,2
Janssen,1,2021-07-05,R,0
Janssen,1,2021-07-06,D1,0
Janssen,1,2021-07-06,D2,0
Janssen,1,2021-07-06,DU,54
Janssen,1,2021-07-06,R,0
Janssen,1,2021-07-07,D1,0
Janssen,1,2021-07-07,D2,0
Janssen,1,2021-07-07,DU,29
Janssen,1,2021-07-07,R,0
Janssen,1,2021-07-08,D1,0
Janssen,1,2021-07-08,D2,0
Janssen,1,2021-07-08,DU,13
Janssen,1,2021-07-08,R,0
Janssen,1,2021-07-09,D1,0
Janssen,1,2021-07-09,D2,0
Janssen,1,2021-07-09,DU,21
Janssen,1,2021-07-09,R,0
Janssen,1,2021-07-12,D1,0
Janssen,1,2021-07-12,D2,0
Janssen,1,2021-07-12,DU,4
